cluster_id	total_hits	terminal_hits	left_hits	right_hits	terminal_fraction	expected_terminal_fraction	terminal_enrichment	median_width	mean_width	min_width	max_width	n_chromosomes	score
cluster_1720	2583	13	12	1	0.005032907471931862	0.003920968219582141	1.283587927797135	19	18.765389082462253	11	339	1	15.486930428435675
cluster_933	75	4	4	0	0.05333333333333334	0.003920968219582141	13.602082533333332	15	19.2	11	343	1	15.472408937136601
cluster_1945	517	7	4	3	0.013539651837524178	0.003920968219582141	3.453139908123791	20	20.4816247582205	11	280	1	15.083760572180298
cluster_2453	26	3	3	0	0.11538461538461539	0.003920968219582141	29.427582403846152	20.0	27.115384615384617	14	188	1	14.781923415775264
cluster_1565	86	4	4	0	0.046511627906976744	0.003920968219582141	11.862281279069766	15.0	18.546511627906977	11	341	1	14.740298557714498
cluster_609	804	8	6	2	0.009950248756218905	0.003920968219582141	2.5377019651741293	16.0	16.52363184079602	11	347	1	14.582500102765334
cluster_436	1878	11	11	0	0.005857294994675187	0.003920968219582141	1.493838936368477	14.0	13.93982960596379	11	375	1	14.502051214972838
cluster_26	812	8	8	0	0.009852216748768473	0.003920968219582141	2.512699975369458	11.0	14.402709359605911	11	545	1	14.500642873726772
cluster_74	90	4	4	0	0.044444444444444446	0.003920968219582141	11.335068777777778	13.0	24.966666666666665	11	537	1	14.498775418861154
cluster_4682	4	2	2	0	0.5	0.003920968219582141	127.51952374999999	19.0	60	19	183	1	14.011687459130906
cluster_2810	384	6	6	0	0.015625	0.003920968219582141	3.9849851171874997	20.0	23.002604166666668	14	186	1	13.90553518454102
cluster_2084	616	7	6	1	0.011363636363636364	0.003920968219582141	2.8981709943181815	20.0	21.464285714285715	11	246	1	13.739581633326376
cluster_2280	105	4	4	0	0.0380952380952381	0.003920968219582141	9.715773238095238	20	21.114285714285714	11	190	1	13.686656207611458
cluster_347	905	8	8	0	0.008839779005524863	0.003920968219582141	2.254488817679558	13	14.665193370165746	11	481	1	13.619447657447065
cluster_131	406	6	6	0	0.014778325123152709	0.003920968219582141	3.7690499630541865	14.0	15.078817733990148	11	536	1	13.52221138342183
cluster_610	411	6	5	1	0.014598540145985401	0.003920968219582141	3.723197773722627	13	13.936739659367397	11	346	1	13.438583678984275
cluster_138	644	7	7	0	0.010869565217391304	0.003920968219582141	2.772163559782608	13.0	14	11	536	1	13.407745625092186
cluster_281	650	7	7	0	0.010769230769230769	0.003920968219582141	2.746574357692307	15.0	17.19076923076923	11	534	1	13.339004592938107
cluster_1143	40	3	3	0	0.075	0.003920968219582141	19.127928562499996	14.5	22.575	11	342	1	12.993380405556135
cluster_2218	991	8	7	1	0.008072653884964682	0.003920968219582141	2.058841957618567	19	18.566094853683147	11	201	1	12.90388454827097
cluster_8339	6	2	2	0	0.3333333333333333	0.003920968219582141	85.01301583333333	15.0	46	15	108	1	12.852966171203256
cluster_1155	453	6	5	1	0.013245033112582781	0.003920968219582141	3.3780006291390725	18	18.55849889624724	11	342	1	12.781632971045209
cluster_1703	455	6	3	3	0.013186813186813187	0.003920968219582141	3.3631522747252744	14	15.756043956043957	14	340	1	12.752224949310207
cluster_2276	126	4	3	1	0.031746031746031744	0.003920968219582141	8.096477698412697	19.0	20.817460317460316	13	190	1	12.741232075423227
cluster_2005	466	6	3	3	0.012875536480686695	0.003920968219582141	3.2837645600858365	19.0	19.51502145922747	11	269	1	12.593275141970661
cluster_1513	132	4	4	0	0.030303030303030304	0.003920968219582141	7.728455984848484	15.0	18.265151515151516	12	342	1	12.502905886891716
cluster_1741	732	7	6	1	0.009562841530054645	0.003920968219582141	2.438897995218579	11.0	12.505464480874316	11	338	1	12.473624262398115
cluster_7195	276	5	5	0	0.018115942028985508	0.003920968219582141	4.620272599637681	20.0	22.03985507246377	15	173	1	12.453200535333949
cluster_2086	771	7	7	0	0.009079118028534372	0.003920968219582141	2.3155296141374837	18	18.281452658884564	12	244	1	12.1046753878786
cluster_511	293	5	5	0	0.017064846416382253	0.003920968219582141	4.352202175767918	14	15.034129692832764	11	356	1	12.100663069124005
cluster_8141	143	4	4	0	0.027972027972027972	0.003920968219582141	7.13395937062937	20	22.146853146853147	13	119	1	12.09583113805245
cluster_175	505	6	6	0	0.011881188118811881	0.003920968219582141	3.030166900990099	14	16.853465346534655	11	536	1	12.065037517251191
cluster_433	295	5	5	0	0.01694915254237288	0.003920968219582141	4.322695720338983	14	16.159322033898306	11	376	1	12.060785474276512
cluster_196	298	5	5	0	0.016778523489932886	0.003920968219582141	4.279178649328859	14.0	17.973154362416107	11	535	1	12.001567440802138
cluster_1941	510	6	5	1	0.011764705882352941	0.003920968219582141	3.0004593823529406	19.5	19.784313725490197	12	281	1	12.000994065882743
cluster_558	146	4	4	0	0.0273972602739726	0.003920968219582141	6.9873711643835605	20.0	22.36986301369863	15	350	1	11.990883022796798
cluster_514	518	6	4	2	0.011583011583011582	0.003920968219582141	2.954120241312741	15.0	16.057915057915057	11	355	1	11.900140456915647
cluster_2200	1148	8	8	0	0.006968641114982578	0.003920968219582141	1.7772755923344945	16.0	17.357142857142858	11	207	1	11.789362756733178
cluster_1693	528	6	4	2	0.011363636363636364	0.003920968219582141	2.8981709943181815	20.0	19.664772727272727	11	340	1	11.776784257136892
cluster_1702	54	3	3	0	0.05555555555555555	0.003920968219582141	14.16883597222222	16.0	22.425925925925927	11	340	1	11.769115425094833
